"GR","NPHI","RHOB","RT","PHIE"
73.01,0.2475,2.081,0.9,0.303434
73.01,0.2531,2.071,0.9,0.309073
88.1,0.2378,2.061,0.89,0.295931
89.41,0.2042,2.054,0.89,0.27274
93.88,0.1905,2.05,0.88,0.27009
93.88,0.2041,2.06,0.87,0.26785
93.87,0.2495,2.064,0.89,0.281211
92.13,0.2626,2.082,0.89,0.294342
86.9,0.2114,2.085,0.89,0.275857
83.46,0.1971,2.096,0.87,0.275589
80.63,0.1766,2.096,0.86,0.259838
102.18,0.164,2.082,0.89,0.245334
99.37,0.1472,2.079,0.9,0.24459
84.58,0.1547,2.067,0.96,0.261863
92.84,0.1628,2.069,0.92,0.256405
106.62,0.1736,2.073,0.93,0.236975
94.23,0.189,2.111,0.97,0.248438
91.33,0.2101,2.119,0.98,0.260129
93.88,0.1979,2.085,0.98,0.264636
100.9,0.172,2.081,0.99,0.251959
105.46,0.1661,2.077,0.99,0.239077
93.76,0.1426,2.052,0.97,0.24761
89.74,0.1512,2.047,0.96,0.264345
86.92,0.1579,2.044,0.94,0.262635
85.41,0.1595,2.049,0.94,0.273981
84.59,0.1647,2.052,0.94,0.268314
88.49,0.1751,2.09,0.95,0.261437
89.42,0.1651,2.094,0.96,0.248275
90.41,0.167,2.106,0.97,0.252734
90.41,0.173,2.113,1,0.240442
79.97,0.1705,2.121,1.02,0.251254
80.61,0.1576,2.099,1.03,0.260511
83.45,0.1549,2.095,1.03,0.251499
84.92,0.1564,2.11,1.02,0.253396
89.22,0.1396,2.113,1,0.233407
79.48,0.1306,2.134,0.96,0.238026
66.05,0.1427,2.154,0.94,0.24137
74.29,0.1273,2.174,0.92,0.224523
77.64,0.128,2.158,0.91,0.225115
69.55,0.1402,2.092,0.89,0.254569
70.81,0.1577,2.082,0.88,0.266215
75.31,0.1556,2.08,0.9,0.267647
76.63,0.1491,2.093,0.95,0.259188
77.37,0.1382,2.125,1.02,0.238562
74.54,0.1397,2.148,1,0.23427
74.94,0.1279,2.147,0.91,0.232497
76.5,0.1236,2.133,0.86,0.235455
78.04,0.1488,2.095,0.85,0.261973
78.58,0.1769,2.072,0.87,0.277618
76.49,0.2191,2.064,0.89,0.302387
76.15,0.2353,2.068,0.97,0.304145
75.34,0.2237,2.161,1.08,0.260091
72.19,0.2006,2.213,1.16,0.239572
69.54,0.1902,2.134,1.15,0.26726
82.77,0.1933,2.057,1.06,0.288437
84.5,0.2019,2.052,0.95,0.291501
67.57,0.2202,2.046,0.9,0.302864
78.91,0.2148,2.068,0.92,0.287228
84.59,0.1906,2.097,1,0.258867
82.27,0.1839,2.19,1.08,0.22878
82.27,0.1642,2.235,1.15,0.213842
90.51,0.1745,2.194,1.14,0.214343
96.23,0.1637,2.161,1.08,0.219992
89.84,0.1952,2.081,1,0.269674
89.93,0.1842,2.053,0.95,0.269159
85.92,0.1754,2.055,0.94,0.274804
88.12,0.1877,2.086,0.94,0.255186
93.41,0.1868,2.137,0.95,0.245527
86.54,0.1749,2.152,0.96,0.240306
84.45,0.177,2.16,0.97,0.231976
86.83,0.1737,2.166,0.98,0.228837
89.61,0.1817,2.095,0.95,0.251948
81.82,0.1914,2.042,0.93,0.291257
88.98,0.1908,2.044,0.95,0.271204
90.49,0.1905,2.091,0.98,0.265094
84.62,0.192,2.126,1,0.24943
81.57,0.174,2.13,1.01,0.25588
73.62,0.1754,2.105,0.98,0.262422
79.45,0.1637,2.077,0.95,0.263921
92.66,0.1588,2.063,0.92,0.244881
79.58,0.1719,2.081,0.91,0.271685
75.37,0.1663,2.05,0.91,0.284202
84.23,0.1711,2.038,0.9,0.277702
87.19,0.2098,2.042,0.87,0.280476
77.95,0.2024,2.06,0.86,0.288141
78.68,0.1922,2.066,0.88,0.287457
83.24,0.1648,2.055,0.92,0.266952
89.97,0.16,2.061,0.98,0.262144
93.18,0.1671,2.049,1.09,0.260551
114.19,0.2009,2.066,1.25,0.235999
115.2,0.2331,2.153,1.43,0.162289
113.84,0.2417,2.252,1.6,0.174727
119.06,0.2192,2.329,1.71,0.178694
137.94,0.2222,2.335,1.76,0.16918
128.57,0.2433,2.332,1.83,0.131512
141.73,0.1934,2.324,1.89,0.194816
148.96,0.1876,2.323,1.81,0.196847
144.63,0.2172,2.314,1.75,0.194488
144.18,0.2274,2.323,1.74,0.178097
138.46,0.2291,2.342,1.72,0.149224
151.57,0.2232,2.319,1.71,0.186071
151.78,0.1945,2.331,1.69,0.189137
145.65,0.1854,2.326,1.64,0.195104
139.75,0.2212,2.309,1.64,0.196963
120.94,0.2365,2.319,1.68,0.172296
128.65,0.2172,2.331,1.69,0.178173
144.23,0.2011,2.357,1.67,0.163332
135.8,0.2105,2.375,1.65,0.130018
136.06,0.2312,2.329,1.62,0.16583
131.62,0.2439,2.323,1.62,0.150854
131.74,0.2412,2.354,1.63,0.07345
132.36,0.271,2.358,1.63,0.016109
132.98,0.2601,2.36,1.62,0.025577
137.74,0.2404,2.358,1.64,0.066977
129.55,0.2058,2.333,1.66,0.183177
132.73,0.2189,2.305,1.69,0.201618
125.22,0.2431,2.302,1.76,0.186595
